CD_PRODCOM_2016|TX_PRODCOM_FR|TX_PRODCOM_NL|CD_UNIT|CD_TYPE
27.51.15.80|Hottes aspirantes à extraction ou à recyclage par filtre, à ventilateur incorporé, dont le plus grand côté horizontal <= 120 cm|Damp- of wasemafzuigkappen met ingebouwde ventilator, waarvan de langste horizontale zijde een lengte heeft <= 120 cm|p/st|-
27.51.21.23|Aspirateurs à moteur électrique incorporé, d’une puissance <= 1500 W et dont le volume du réservoir <= 20 l|Stofzuigers met ingebouwde elektromotor met een vermogen <= 1 500 W en met een stofreservoir met een inhoud <= 20 l|p/st|-
27.51.21.25|Autres aspirateurs à moteur électrique incorporé|Andere stofzuigers met ingebouwde elektromotor|p/st|-
27.51.21.70|Broyeurs et mélangeurs pour aliments, presse-fruits et presse-légumes à moteur électrique incorporé, pour usage domestique|Apparaten met ingebouwde elektromotor voor het malen, het mengen en dergelijke van voedings- en genotmiddelen, alsmede vruchten- en groentepersen, voor huishoudelijk gebruik|p/st|-
27.51.21.90|Autres appareils électromécaniques|Andere elektromechanische toestellen voor huishoudelijk gebruik|kg|-
27.51.22.00|Rasoirs, appareils à épiler et tondeuses, à moteur électrique incorporé|Scheerapparaten, tondeuses en epileerapparaten, met ingebouwde elektromotor|p/st|-
27.51.23.10|Sèche-cheveux électriques|Elektrische haardroogtoestellen|p/st|-
27.51.23.30|Appareils électrothermiques pour la coiffure, y compris les appareils à friser et les chauffe-fers à friser (à l’exclusion des sèche-cheveux et des casques séchoirs)|Elektrothermische toestellen voor haarbehandeling (incl. krultangen en haargolftoestellen) (excl. haardrooghelmen en andere haardroogtoestellen)|p/st|-
27.51.23.50|Appareils électrothermiques pour sécher les mains|Elektrothermische toestellen voor het drogen van de handen|p/st|-
27.51.23.70|Fers à repasser électriques|Elektrische strijkijzers|p/st|-
27.51.24.10|Aspirateurs, y compris les aspirateurs de matières sèches et de matières liquides (à l’exclusion des aspirateurs à moteur électrique incorporé)|Stofzuigers (incl. stofzuigers voor het opzuigen van droge stoffen en natte stoffen) (excl. die met ingebouwde elektromotor)|p/st|-
27.51.24.30|Cafetières et théières électriques, y compris les percolateurs|Elektrische koffie- en theezetapparaten voor huishoudelijk gebruik (incl. percolators)|p/st|-
27.51.24.50|Grille-pain électriques, y compris les fours à griller le pain, les pommes de terre et autres produits alimentaires de petites dimensions|Elektrische broodroosters voor huishoudelijk gebruik (incl. ovens voor het roosteren van brood waarmee ook kleine producten, zoals aardappelen, gebakken kunnen worden)|p/st|-
27.51.24.90|Appareils électrothermiques, pour usages domestiques (à l’exclusion des appareils pour la coiffure ou pour sécher les mains, pour le chauffage des locaux, du sol ou pour usages similaires, des chauffe-eau, thermoplongeurs, fers à repasser, fours à micro-ondes, fours et cuisinières, des tables de cuisson, grils et rôtissoires, des appareils pour la préparation du café et du thé et des grille-pain)|Elektrothermische toestellen voor huishoudelijk gebruik (excl. toestellen voor haarbehandeling of voor het drogen van de handen, toestellen voor verwarming van woonruimten, voor bodemverwarming of voor dergelijk gebruik, heetwatertoestellen en dompelaars, strijkijzers, ovens, microgolfovens, fornuizen, komforen, kookplaten, grilleerapparaten, koffie- en theezetapparaten en broodroosters)|p/st|-
27.51.25.30|Chauffe-eau électriques instantanés|Elektrische geisers|p/st|-
27.51.25.60|Chauffe-eau et thermoplongeurs électriques (à l’exclusion des chauffe-eau instantanés)|Elektrische heetwatertoestellen en dompelaars (excl. geisers)|p/st|-
27.51.26.30|Radiateurs électriques à accumulation|Elektrische accumulatieradiatoren|p/st|-
27.51.26.50|Radiateurs à circulation de liquide, convecteurs et radiateurs à ventilateur incorporé, électriques|Elektrische radiatoren, convectieradiatoren en verwarmingstoestellen met ingebouwde ventilator|p/st|-
27.51.26.90|Autres radiateurs électriques|Andere elektrische toestellen voor verwarming van woonruimten|p/st|-
27.51.27.00|Fours à micro-ondes|Microgolfovens voor huishoudelijk gebruik|p/st|-
27.51.28.10|Cuisinières électriques pour usages domestiques, y compris les appareils mixtes gaz-électricité|Elektrische fornuizen voor huishoudelijk gebruik (incl. gecombineerde gas-elektriciteitstoestellen)|p/st|-
27.51.28.30|Réchauds électriques, y compris les tables de cuisson, pour usages domestiques|Elektrische komforen en kookplaten, voor huishoudelijk gebruik|p/st|-
27.51.28.50|Grille-viande et rôtissoires pour usages domestiques|Elektrische grilleerapparaten voor huishoudelijk gebruik|p/st|-
27.51.28.70|Fours électriques à encastrer pour usages domestiques|Elektrische inbouwovens voor huishoudelijk gebruik|p/st|-
27.51.28.90|Fours électriques pour usages domestiques (à l’exclusion des fours à encastrer et des fours à micro-ondes)|Elektrische ovens voor huishoudelijk gebruik (excl. inbouwovens en microgolfovens)|p/st|-
27.51.29.00|Résistances électriques chauffantes (à l’exclusion des résistances en charbon aggloméré)|Elektrische verwarmingselementen (verwarmingsweerstanden) (excl. die van geperste koolstof of van grafiet)|kg|-
27.51.30.10|Parties d’aspirateurs|Delen van stofzuigers|-|-
27.51.30.30|Parties d’appareils domestiques électromécaniques à moteur électrique incorporé (à l’exclusion des parties d’aspirateurs)|Delen van elektromechanische toestellen voor huishoudelijk gebruik, met ingebouwde elektromotor (excl. delen van stofzuigers)|-|-
27.51.30.50|Parties de rasoirs et tondeuses à moteur électrique incorporé|Delen van scheerapparaten en van tondeuses, met ingebouwde elektromotor|-|-
27.51.30.70|Parties des appareils relevant du SH 8516|Delen van toestellen bedoeld bij GS-post 8516|-|-
27.52.11.13|Appareils domestiques de cuisson et chauffe-plats, en fer ou en acier, à gaz et autres combustibles, avec fours, y compris ceux combinés avec une chaudière et pouvant être utilisés accessoirement pour le chauffage central et les fours encastrés|Kook- of braadtoestellen en bordenwarmers, van gietijzer, van ijzer of van staal, voor gas en voorzien van een oven, voor huishoudelijk gebruik (incl. die met aan-of ingebouwde waterketel, die bijkomstig ook voor centrale verwarming kan dienen en die met afzonderlijke ovens voor gas en andere brandstoffen)|p/st|-
27.52.11.15|Appareils domestiques de cuisson et chauffe-plats, en fer ou en acier, à gaz et autres combustibles, sans four, y compris ceux combinés avec une chaudière et pouvant être utilisés accessoirement pour le chauffage central|Kook- of braadtoestellen en bordenwarmers, van gietijzer, van ijzer of van staal, voor gas, voor huishoudelijk gebruik (incl. die met aan-of ingebouwde waterketel, die bijkomstig ook voor centrale verwarming kan zorgen en die voor gas en andere brandstoffen) (excl. die voorzien van een oven)|p/st|-
27.52.11.90|Autres appareils domestiques de cuisson et chauffe-plats, en fer, acier ou cuivre, non électriques|Andere niet-elektrische kook- of braadtoestellen en bordenwarmers, voor huishoudelijk gebruik, van gietijzer, van ijzer, van staal of van koper|p/st|-
27.52.12.34|Appareils domestiques à gaz, en fer ou en acier, y compris les poêles, chaudières à foyer, foyers de lessiveuses, chaudières avec foyer pour la lessive et braseros (à l’exclusion des appareils domestiques de cuisson et des chauffe-plats)|Toestellen voor huishoudelijk gebruik, voor gas, van gietijzer, van ijzer of van staal (incl. verwarmingstoestellen, kookketels met vuurhaard, vuurpotten en radiators voor gas en een andere brandstof) (excl. kook- of braadtoestellen en bordenwarmers)|p/st|-
27.52.12.50|Appareils domestiques à combustibles liquides, en fer ou en acier, y compris les poêles, chaudières à foyer, foyers de lessiveuses, chaudières avec foyer pour la lessive et braseros (à l’exclusion des appareils domestiques de cuisson et des chauffe-plats)|Toestellen voor huishoudelijk gebruik, voor vloeibare brandstof, van gietijzer, van ijzer of van staal (incl. verwarmingstoestellen, kookketels met vuurhaard en vuurpotten) (excl. kook- en braadtoestellen en bordenwarmers)|p/st|-
27.52.12.70|Appareils domestiques à combustibles solides, en fer ou en acier, y compris les poêles, chaudières à foyer, foyers de lessiveuses, chaudières avec foyer pour la lessive et braseros (à l’exclusion des appareils domestiques de cuisson et des chauffe-plats)|Toestellen voor huishoudelijk gebruik, voor vaste brandstof, van gietijzer, van ijzer of van staal (incl. verwarmingstoestellen, kookketels met vuurhaard en vuurpotten) (excl. kook- en braadtoestellen en bordenwarmers)|p/st|-
27.52.13.00|Générateurs et distributeurs d’air chaud n.c.a., en fer ou en acier, non électriques|Niet-elektrische luchtverhitters en apparaten voor het verspreiden van warme lucht, n.e.g. , van gietijzer, van ijzer of van staal|p/st|-
27.52.14.00|Chauffe-eau non électriques à chauffage instantané ou à accumulation|Niet-elektrische geisers en andere heetwatertoestellen|p/st|-
27.52.20.00|Parties des poêles, cuisinières, chauffe-plats et appareils non électriques similaires à usage domestique, en fer ou en acier|Delen van kachels, keukenfornuizen, bordenwarmers en dergelijke niet-elektrische toestellen voor huishoudelijk gebruik, van ijzer of staal|-|-
27.90.11.50|Machines avec fonctions de traduction ou de dictionnaire, amplificateurs d’antennes et autres machines et appareils électriques ayant une fonction propre, non classés ailleurs dans le SH 85 (à l’exclusion des chargeurs d'accumulateurs, des bancs et ciels solaires et appareils similaire)|Toestellen met vertaal- of woordenboekfuncties, antenneversterkers en andere elektrische machines, apparaten en toestellen, met een eigen functie, n.e.g. in GS-hoofdstuk 85 (excl. gelijkrichters voor het laden van accumulatoren, zonnebanken, zonnehemels en dergelijke bruiningsapparatuur)|-|-
27.90.12.30|Isolateurs pour l’électricité (à l’exclusion de ceux en verre ou céramique)|Isolatoren voor elektriciteit (excl. die van glas of van keramische stoffen)|kg|-
27.90.12.80|Pièces isolantes, pour usages électriques (à l’exclusion de ceux en céramique ou en matières plastiques et des tubes isolateurs et de leurs pièces de raccordement, en métaux communs, isolés intérieurement)|Isolerende werkstukken voor elektrische toepassingen (excl. die van keramische stoffen of kunststof); isolatiebuizen en verbindingsstukken daarvoor, van onedel metaal, inwendig geïsoleerd|kg|-
27.90.13.30|Électrodes des types utilisés pour fours|Koolelektroden voor ovens|kg|-
27.90.13.50|Électrodes en carbone (à l’exclusion des types utilisés pour fours)|Koolelektroden (excl. die voor ovens)|kg|-
27.90.13.70|Balais en charbon|Koolborstels|kg|-
27.90.13.90|Articles en graphite ou en autre carbone, pour usages électriques (à l’exclusion des électrodes et des balais en carbone)|Artikelen van grafiet of andere koolstof, voor elektrisch gebruik (excl. koolelektroden en koolborstels)|kg|-
27.90.20.20|Panneaux indicateurs incorporant des dispositifs à cristaux liquides (LCD)|Signaalborden voorzien van elementen met vloeibare kristallen (LCD)|kg|-
27.90.20.50|Panneaux indicateurs incorporant des dispositifs à diodes électroluninescentes (LED)|Signaalborden voorzien van elementen met luminescentiedioden (LED)|kg|-
27.90.20.80|Appareils électriques de signalisation acoustique ou visuelle n.c.a.|Elektrische toestellen voor hoorbare of zichtbare signalen, n.e.g.|kg|-
27.90.31.09|Fers et pistolets à braser électriques|Elektrische soldeerbouten en soldeerpistolen|p/st|-
27.90.31.18|Machines et appareils électriques pour le brasage fort ou tendre (à l’exclusion des fers et pistolets à braser)|Elektrische machines, apparaten en toestellen voor het solderen (excl. soldeerbouten en soldeerpistolen)|p/st|-
27.90.31.45|Machines et appareils électriques pour le soudage des métaux par résistance|Elektrische machines, apparaten en toestellen voor het weerstandlassen van metalen|p/st|-
27.90.31.54|Machines et appareils entièrement ou partiellement automatiques pour le soudage des métaux à l’arc ou à jet de plasma|Elektrische automatische of halfautomatische machines werkend met lichtboog of plasmastraal, voor het lassen van metalen|p/st|-
27.90.31.63|Autres machines et appareils pour le soudage manuel à électrodes enrobées|Andere machines, apparaten en toestellen met handbediening, met beklede elektroden, voor het lassen van metalen|p/st|-
27.90.31.72|Autres machines et appareils pour le soudage des métaux à l’arc protégé|Andere machines voor het lassen van metalen, met beschermde boog|p/st|-
27.90.31.81|Machines et appareils électriques pour le soudage ou la projection des métaux n.c.a.|Elektrische machines, apparaten en toestellen voor het lassen of verspuiten van metaal, n.e.g.|p/st|-
27.90.31.91|Machines et appareils électriques pour le soudage des matières thermoplastiques (à l’exclusion des micro-soudeuses de fils du type utilisé dans la fabrication de dispositifs à semi-conducteur)|Elektrische machines, apparaten en toestellen voor het lassen van thermoplastische materialen (excl. draadbonders van de soort voor de vervaardiging van halfgeleidermateriaal)|p/st|-
27.90.32.00|Parties des machines et appareils relevant du SH 8515|Delen van machines, apparaten en toestellen bedoeld bij GS-post 8515|-|-
27.90.33.30|Parties d’appareils électriques de signalisation, de sécurité, de contrôle ou de commande pour voies ferrées ou similaires, voies routières ou fluviales, aires ou parcs de stationnement, installations portuaires ou aérodromes|Delen van elektrische signaaltoestellen veiligheids-, controle- en bedieningstoestellen, voor spoor- en tramwegen, voor verkeers- en waterwegen, voor parkeerterreinen, voor havens of voor vliegvelden|-|-
27.90.33.50|Parties des appareils relevant du SH 8531|Delen van toestellen bedoeld bij GS-post 8531|-|-
27.90.33.70|Parties de machines et appareils électriques ayant une fonction propre n.c.a.|Delen van elektrische machines, apparaten en toestellen met een eigen functie, n.e.g.|-|-
27.90.33.90|Parties électriques de machines ou appareils n.c.a.|Elektrische delen van machines, apparaten of toestellen, n.e.g.|-|-
27.90.41.30|Redresseurs (à l’exclusion de ceux utilisés pour les appareils de télécommunication, les machines de traitement automatique de l’information et leurs unités)|Gelijkrichters (excl. die van de soort gebruikt voor telecommunicatietoestellen, automatische gegevensverwerkende machines en eenheden daarvoor)|p/st|-
27.90.41.33|Chargeurs d’accumulateurs|Gelijkrichters voor het laden van accumulatoren|p/st|-
27.90.41.40|Unités d’alimentation pour les appareils de télécommunication, les machines automatiques de traitement de l’information et leurs unités|Stroomvoorzieningstoestellen voor telecommunicatietoestellen, automatische gegevensverwerkende machines en eenheden daarvoor|p/st|-
27.90.41.53|Onduleurs d’une puissance <= 7,5 kVA|Omzetters met een vermogen <= 7,5 kVA|p/st|-
27.90.41.55|Onduleurs d’une puissance > 7,5 kVA|Omzetters met een vermogen > 7,5 kVA|p/st|-
27.90.41.70|Convertisseurs statiques (à l’exclusion des redresseurs à semi-conducteur polycristallin, des transformateurs pour la soudure sans l’équipement de soudure, des chargeurs d’accumulateurs, des redresseurs et des ondulateurs)|Statische omvormers (excl. polykristallijne halfgeleideromvormers, lastransformatoren zonder laskoppen of –tangen, acculaders, gelijkrichters, omzetters)|p/st|-
27.90.41.90|Parties de de convertisseurs statiques, n.c.a. (à l'exclusion d'assemblages électroniques du type utilisé avec les appareils de télécommunication et pour l'alimentation électrique des machines automatiques de traitement de l'information et leurs unités|Delen van statische omvormers, n.e.g. (excl. elektronische assemblages van de soort gebruikt voor telecommunicatietoestellen, automatische gegevensverwerkende
machines en eenheden daarvoor|-|-
27.90.42.00|Piles à combustible|Brandstofcellen|-|-
27.90.43.00|Parasurtenseurs pour une tension excédant 1 000 V|Golfafvlakkers voor een spanning van meer dan 1kVA|p/st|-
27.90.44.00|Autres conducteurs électriques, pour une tension <= 1 000 V, munis de pièces de connexion|Snoeren en kabels voor apparaten en toestellen, verlengsnoeren en andere kabelsets , voor spanningen van niet meer dan1 kV, geïsoleerd en voorzien van verbindingstukken|kg|-
27.90.45.10|Accélérateurs de particules|Deeltjesversnellers|kg|-
27.90.45.30|Générateurs de signaux|Signaalgeneratoren|kg|-
27.90.45.50|Accouplements, embrayages, variateurs de vitesse, freins électromagnétiques|Elektromagnetische koppelingen, gangwissels en remmen (excl. mechanische, hydraulische of pneumatische remmen die elektromagnetisch worden bediend)|p/st|-
27.90.45.60|Électro-aimants (à l’exclusion des aimants à usages médicaux) et têtes de levage électromagnétiques et leurs parties; plateaux, mandrins et dispositifs de fixation magnétiques ou électromagnétiques similaires et leurs parties n.c.a.|Elektromagneten en lastmagneten en delen daarvan (excl. magneten voor medisch gebruik); magnetische en elektromagnetische opspanplaten en werkstukhouders en delen daarvan, n.e.g.|kg|-
27.90.45.70|Bancs solaires, ciels solaires et appareils similaires pour le bronzage|Zonnebanken, zonnehemels en dergelijke bruiningsapparatuur|p/st|-
27.90.51.00|Condensateurs fixes pour réseaux de 50/60 Hz capables d’absorber une puissance réactive >= 0,5 kvar|Vaste condensatoren, berekend op gebruik bij 50/60 Hz, met een blind vermogen van >= 0,5 kvar (vermogenscondensatoren)|p/st|-
27.90.52.20|Condensateurs électrolytiques au tantale ou à l’aluminium (à l’exclusion des condensateurs de puissance)|Vaste elektrische tantaalcondensatoren of elektrolytische aluminiumcondensatoren (excl. vermogenscondensatoren)|p/st|-
27.90.52.40|Autres condensateurs fixes n.c.a.|Andere vaste elektrische condensatoren, n.e.g.|p/st|-
27.90.53.00|Condensateurs variables ou ajustables|Regelbare condensatoren en instelbare condensatoren|p/st|-
27.90.60.35|Résistances électriques fixes pour une puissance <= 20 W (à l’exclusion des résistances chauffantes et des résistances fixes au carbone, agglomérées ou à couche)|Vaste elektrische weerstanden voor een vermogen <= 20 W (excl. verwarmingsweerstanden, vaste geagglomereerde koolweerstanden en vaste koolfilmweerstanden)|p/st|-
27.90.60.37|Résistances électriques fixes, pour une puissance > 20 W (à l’exclusion des résistances chauffantes et des résistances fixes au carbone, agglomérées ou à couche)|Vaste elektrische weerstanden voor een vermogen > 20 W (excl. verwarmingsweerstanden, vaste geagglomereerde koolweerstanden en vaste koolfilmweerstanden)|p/st|-
27.90.60.55|Résistances variables bobinées, pour une puissance <= 20 W|Regelbare en instelbare draadgewonden weerstanden voor een vermogen <= 20 W|p/st|-
27.90.60.57|Résistances variables bobinées, pour une puissance > 20 W|Regelbare en instelbare draadgewonden weerstanden voor een vermogen > 20 W|p/st|-
27.90.60.80|Résistances électriques, fixes au carbone, agglomérées ou à couche (à l’exclusion des résistances chauffantes); résistances électriques variables, y compris les rhéostats et les potentiomètres (à l’exclusion des résistances variables bobinées et des résistances chauffantes)|Vaste geagglomereerde koolweerstanden en vaste koolfilmweerstanden (excl. verwarmingsweerstanden); regelbare en instelbare elektrische weerstanden (incl. reostaten en potentiometers) (excl. draadgewonden weerstanden en verwarmingsweerstanden)|p/st|-
27.90.70.10|Appareils électriques de signalisation, de sécurité ou de contrôle pour voies ferrées et similaires|Elektrische signaal-, veiligheids-, controle- en bedieningstoestellen voor spoor- en tramwegen|-|-
27.90.70.30|Appareils électriques de signalisation, de sécurité ou de contrôle pour routes, voies navigables intérieures, parkings, installations portuaires et aéroports|Elektrische signaal-, veiligheids-, controle- en bedieningstoestellen voor verkeers- en waterwegen, voor parkeerterreinen, voor havens of voor vliegvelden|kg|-
27.90.81.00|Parties de condensateurs fixes, variables ou ajustables|Delen van vaste, regelbare of instelbare elektrische condensatoren|-|-
27.90.82.00|Parties de résistances électriques, y compris les rhéostats et les potentiomètres (à l’exclusion des résistances chauffantes)|Delen van elektrische weerstanden (incl. die voor reostaten en potentiometers) (excl. die voor verwarmingsweerstanden)|-|-
28.11.11.00|Moteurs hors-bord|Buitenboordmotoren|p/st|-
28.11.12.00|Moteurs à piston alternatif ou rotatif à allumage par étincelles (moteurs à explosion) pour la propulsion des bateaux (à l’exclusion des moteurs hors-bord) et pour d’autres usages (à l’exclusion des moteurs d’avions ou de véhicules du chapitre 87 de la NC)|Zuigermotoren met vonkontsteking incl. wankelmotoren, voor de voortstuwing van schepen (excl. buitenboordmotoren) en voor ander gebruik (excl. luchtvaartuigmotoren en motoren voor voertuigen als bedoeld in GN hoofdstuk 87)|p/st|-
28.11.13.11|Moteurs diesels ou semi-diesels pour la propulsion de bateaux, d’une puissance <=200 kW|Zuigermotoren met zelfontsteking (diesel- en semidieselmotoren) voor de voortstuwing van schepen, met een vermogen <= 200 kW|p/st|-
28.11.13.15|Moteurs diesels ou semi-diesels pour la propulsion de bateaux, d’une puissance > 200 kW mais <= 1 000 kW|Zuigermotoren met zelfontsteking (diesel- en semidieselmotoren) voor de voortstuwing van schepen, met een vermogen > 200 kW doch <= 1 000 kW|p/st|-
28.11.13.19|Moteurs diesels ou semi-diesels pour la propulsion de bateaux, d’une puissance > 1 000 kW|Zuigermotoren met zelfontsteking (diesel- en semidieselmotoren) voor de voortstuwing van schepen, met een vermogen > 1 000 kW|p/st|-
28.11.13.20|Moteurs diesels ou semi-diesels pour la propulsion de véhicules ferroviaires|Zuigermotoren met zelfontsteking (diesel- en semi-dieselmotoren) voor de voortbeweging van spoorvoertuigen|p/st|-
28.11.13.31|Moteurs diesels ou semi-diesels pour usage industriel, d’une puissance <= 15 kW|Zuigermotoren met zelfontsteking (diesel- en semi-dieselmotoren) voor industrieel gebruik, met een vermogen <= 15 kW|p/st|-
28.11.13.33|Moteurs diesels ou semi-diesels pour usage industriel, d’une puissance > 15 kW mais <= 30 kW|Zuigermotoren met zelfontsteking (diesel- en semi-dieselmotoren) voor industrieel gebruik, met een vermogen > 15 doch <= 30 kW|p/st|-
28.11.13.35|Moteurs diesels ou semi-diesels pour usage industriel, d’une puissance > 30 kW mais <= 50 kW|Zuigermotoren met zelfontsteking (diesel- en semi-dieselmotoren) voor industrieel gebruik, met een vermogen > 30 doch <= 50 kW|p/st|-
28.11.13.37|Moteurs diesels ou semi-diesels pour usage industriel, d’une puissance > 50 kW mais <=100 kW|Zuigermotoren met zelfontsteking (diesel- en semi-dieselmotoren) voor industrieel gebruik, met een vermogen > 50 doch <= 100 kW|p/st|-
28.11.13.53|Moteurs diesels ou semi-diesels pour usage industriel, d’une puissance > 100 kW mais <= 200 kW|Zuigermotoren met zelfontsteking (diesel- en semi-dieselmotoren) voor industrieel gebruik, met een vermogen > 100 doch <= 200 kW|p/st|-
28.11.13.55|Moteurs diesels ou semi-diesels pour usage industriel, d’une puissance > 200 kW mais <= 300 kW|Zuigermotoren met zelfontsteking (diesel- en semi-dieselmotoren) voor industrieel gebruik, met een vermogen > 200 doch <= 300 kW|p/st|-
28.11.13.57|Moteurs diesels ou semi-diesels pour usage industriel, d’une puissance > 300 kW mais <= 500 kW|Zuigermotoren met zelfontsteking (diesel- en semi-dieselmotoren) voor industrieel gebruik, met een vermogen > 300 doch <= 500 kW|p/st|-
28.11.13.73|Moteurs diesels ou semi-diesels pour usage industriel, d’une puissance > 500 kW mais <= 1 000 kW|Zuigermotoren met zelfontsteking (diesel- en semi-dieselmotoren) voor industrieel gebruik, met een vermogen > 500 doch <= 1 000 kW|p/st|-
28.11.13.75|Moteurs diesels ou semi-diesels pour usage industriel, d’une puissance > 1 000 kW|Zuigermotoren met zelfontsteking (diesel- en semi-dieselmotoren) voor industrieel gebruik, met een vermogen > 1 000 kW|p/st|-
28.11.21.60|Turbines à vapeur|Stoomturbines en andere dampturbines|kW|-
28.11.22.00|Turbines et roues hydrauliques|Waterturbines en waterraderen (waterwielen)|kW|-
28.11.23.00|Turbines à gaz (à l’exclusion des turboréacteurs et des turbopropulseurs)|Gasturbines (excl. turbinestraalmotoren en schroefturbines)|kW|-
28.11.24.00|Groupes électrogènes à énergie éolienne|Generatoraggregaten, werkend op windenergie|p/st|-
28.11.31.00|Parties de turbines à vapeur|Delen van stoomturbines en andere dampturbines|-|-
28.11.32.00|Parties de turbines et roues hydrauliques, y compris les régulateurs|Delen van waterturbines, waterraderen (waterwielen) (incl. regulators)|-|-
28.11.33.00|Parties de turbines à gaz (à l’exclusion des turboréacteurs et des turbopropulseurs)|Delen van gasturbines (excl. turbinestraalmotoren en schroefturbines)|-|-
28.11.41.00|Parties exclusivement ou principalement destinées aux moteurs à explosion (à l’exclusion des moteurs pour l’aviation)|Delen waarvan kan worden onderkend dat zij uitsluitend of hoofdzakelijk bestemd zijn voor zuigermotoren met vonkontsteking (excl. die voor luchtvaartuigmotoren)|-|-
28.11.42.00|Parties exclusivement ou principalement destinées aux moteurs diesel|Delen waarvan kan worden onderkend dat zij uitsluitend of hoofdzakelijk bestemd zijn voor zuigermotoren met zelfontsteking|-|-
28.12.11.30|Moteurs hydrauliques à mouvement rectiligne (cylindres)|Hydraulische cilinders|p/st|-
28.12.11.80|Moteurs pneumatiques à mouvement rectiligne, y compris les cylindres|Pneumatische rechtlijnig werkende aandrijfrmechanismen (incl. cilinders)|p/st|-
28.12.12.00|Moteurs hydrauliques et pneumatiques rotatifs|Roterende hydraulische en pneumatische motoren|p/st|-
28.12.13.20|Pompes oléohydrauliques (pompes à piston)|Hydraulische pompen (zuiger- en plunjerpompen)|p/st|-
28.12.13.50|Pompes hydrauliques à engrenages|Hydraulische tandwielpompen|p/st|-
28.12.13.80|Pompes hydrauliques à palettes|Hydraulische schottenpompen|p/st|-
28.12.14.20|Détendeurs combinés avec filtres ou lubrificateurs|Reduceerventielen, gecombineerd met filters of smeerapparaten|kg|-
28.12.14.50|Valves pour transmissions oléohydrauliques|Kleppen voor oleohydraulische overbrenging|kg|-
28.12.14.80|Valves pour transmissions pneumatiques|Kleppen voor pneumatische overbrenging|kg|-
28.12.15.30|Agrégats hydrauliques volumétriques alternatives, avec pompes|Oscillerende hydraulische aggregaten, met pompen|p/st|-
28.12.15.80|Agrégats hydrauliques volumétriques rotatives, avec pompes|Roterende hydraulische aggregaten, met pompen|p/st|-
28.12.16.30|Systèmes hydrauliques avec cylindres comme actionneurs|Hydraulische systemen met cilinders als aandrijfinrichtingen|p/st|-
28.12.16.80|Systèmes hydrauliques avec actionneurs, autres que cylindres|Hydraulische systemen met aandrijfinrichtingen, andere dan cilinders|p/st|-
28.12.20.00|Parties pour équipements hydrauliques et pneumatiques|Delen van hydraulische en pneumatische apparatuur|-|-
28.13.11.05|Pompes pour la distribution de carburants ou de lubrifiants à dispositif mesureur ou conçues pour en comporter un, des types utilisés dans les stations-service ou les garages|Distributiepompen voor brandstof of smeermiddelen, voorzien van een meettoestel of ingericht om van een meettoestel te worden voorzien, van de soort gebruikt bij benzinepompen of in garagewerkplaatsen|p/st|-
28.13.11.25|Pompes pour la distribution de liquides à dispositif mesureur ou conçues pour en comporter un (à l’exclusion des pompes pour la distribution de carburants ou de lubrifiants des types utilisés dans les stations-service ou les garages)|Distributiepompen voor vloeistoffen, voorzien van een meettoestel of ingericht om van een meettoestel te worden voorzien (excl. die voor brandstof of smeermiddelen, van de soort gebruikt bij benzinepompen of in garagewerkplaatsen)|p/st|-
28.13.11.45|Pompes actionnées à la main pour liquides, à l'exclusion de pompes comportant un dispositif mesureur ou conçues pour comporter un tel dispositif|Handpompen voor vloeistoffen, excl. pompen die voorzien zijn van een meettoestel of die ontworpen zijn om te worden uitgerust met een meettoestel|p/st|-
28.13.11.65|Pompes à carburant, à huile ou à liquide de refroidissement pour moteurs à combustion interne|Brandstof-, olie- en koelvloeistofpompen voor explosiemotoren of voor verbrandingsmotoren|p/st|-
28.13.11.85|Pompes à béton|Betonpompen|p/st|-
28.13.12.20|Pompes à dispositif mesureur et compteur|Oscillerende verdringerpompen: doseerpompen|p/st|-
28.13.12.50|Pompes à pistons en ligne|Oscillerende lijnzuigerpompen|p/st|-
28.13.12.80|Pompes à diaphragme|Oscillerende diafragmapompen|p/st|-
28.13.13.20|Pompes à engrenages|Niet-hydraulische tandwielpompen|p/st|-
28.13.13.40|Pompes à palettes|Niet-hydraulische schottenpompen|p/st|-
28.13.13.60|Pompes à vis hélicoïdales|Schroefspindelpompen|p/st|-
28.13.13.80|Pompes volumétriques rotatives, y compris péristaltiques, à lobes et à vis excentrée (à l’exclusion des pompes à engrenages, à palettes et à vis hélicoïdales)|Andere roterende verdringerpompen (incl. peristaltische pompen, lobbenpompen, wormpompen) (excl. hydraulische pompen, tandwielpompen, schottenpompen, schroefspindelpompen),|p/st|-
28.13.14.13|Pompes roto-dynamiques submersibles, mono-étagées, pour l’égouttage et l’assèchement|Eentraps-centrifugaalonderwaterpompen voor drainage en afvalwater|p/st|-
28.13.14.15|Pompes roto-dynamiques submersibles, multi-étagées|Meertraps-centrifugaalonderwaterpompen|p/st|-
28.13.14.17|Circulateurs de chauffage central et d’eau chaude|Circulatiepompen voor centrale verwarming of voor warm water|p/st|-
28.13.14.20|Pompes roto-dynamiques, avec un orifice de refoulement <= 15 mm|Centrifugaalpompen met een uitlaatopening met een doorsnede <= 15 mm|p/st|-
