Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Te voet (%),Fiets (%),Openbaar vervoer (%),Auto (%),Andere (%)
 Zuienkerke ,31042,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.12,0.1,0.72,0.06
 Zulte ,44081,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.13,0.12,0.7,0.03
 Zulte ,44081,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.11,0.11,0.74,0.04
 Zutendaal ,71067,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.07,0.12,0.75,0.03
 Zutendaal ,71067,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.14,0.06,0.76,0.02
 Zwalm ,45065,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.05,0.21,0.67,0.04
 Zwalm ,45065,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.09,0.23,0.66,0.01
 Zwevegem ,34042,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.13,0.08,0.73,0.03
 Zwevegem ,34042,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.2,0.06,0.72,0.02
 Zwijndrecht ,11056,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.16,0.21,0.53,0.07
 Zwijndrecht ,11056,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.27,0.21,0.47,0.04
13 centrumsteden,/,/,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2014,0.06,0.24,0.2,0.47,0.03
13 centrumsteden,/,/,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.25,0.21,0.46,0.02
13 centrumsteden,/,/,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.04,0.29,0.19,0.46,0.03
Gemeenten groter dan 50.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.25,0.21,0.46,0.02
Gemeenten groter dan 50.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.04,0.29,0.19,0.46,0.03
Gemeenten kleiner dan 10.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.1,0.13,0.69,0.04
Gemeenten kleiner dan 10.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.12,0.13,0.71,0.02
Gemeenten van 10.000 tot 20.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.13,0.15,0.65,0.04
Gemeenten van 10.000 tot 20.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.16,0.14,0.66,0.03
Gemeenten van 20.000 tot 30.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.14,0.15,0.63,0.04
Gemeenten van 20.000 tot 30.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.17,0.15,0.64,0.03
Gemeenten van 30.000 tot 50.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.14,0.16,0.61,0.04
Gemeenten van 30.000 tot 50.000 inw.,/,/,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.15,0.17,0.63,0.02
Vlaams Gewest,/,/,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.16,0.16,0.59,0.04
Vlaams Gewest,/,/,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.19,0.16,0.6,0.03
